Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-13 00:00:00-04:00,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,68445600,0.0,0.0
2023-04-12 00:00:00-04:00,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,50133100,0.0,0.0
2023-04-11 00:00:00-04:00,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,47644200,0.0,0.0
2023-04-10 00:00:00-04:00,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,47716900,0.0,0.0
2023-04-06 00:00:00-04:00,162.42999267578125,164.9600067138672,162.0,164.66000366210938,45390100,0.0,0.0
2023-04-05 00:00:00-04:00,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,51511700,0.0,0.0
2023-04-04 00:00:00-04:00,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,46278300,0.0,0.0
2023-04-03 00:00:00-04:00,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,56976200,0.0,0.0
2023-03-31 00:00:00-04:00,162.44000244140625,165.0,161.91000366210938,164.89999389648438,68694700,0.0,0.0
2023-03-30 00:00:00-04:00,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,49501700,0.0,0.0
2023-03-29 00:00:00-04:00,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,51305700,0.0,0.0
2023-03-28 00:00:00-04:00,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,45992200,0.0,0.0
2023-03-27 00:00:00-04:00,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,52390300,0.0,0.0
2023-03-24 00:00:00-04:00,158.86000061035156,160.33999633789062,157.85000610351562,160.25,59196500,0.0,0.0
2023-03-23 00:00:00-04:00,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,67622100,0.0,0.0
2023-03-22 00:00:00-04:00,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,75701800,0.0,0.0
2023-03-21 00:00:00-04:00,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,73938300,0.0,0.0
2023-03-20 00:00:00-04:00,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,73641400,0.0,0.0
2023-03-17 00:00:00-04:00,156.0800018310547,156.74000549316406,154.27999877929688,155.0,98944600,0.0,0.0
2023-03-16 00:00:00-04:00,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,76161100,0.0,0.0
2023-03-15 00:00:00-04:00,151.19000244140625,153.25,149.9199981689453,152.99000549316406,77167900,0.0,0.0
2023-03-14 00:00:00-04:00,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,73695900,0.0,0.0
2023-03-13 00:00:00-04:00,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,84457100,0.0,0.0
2023-03-10 00:00:00-05:00,150.2100067138672,150.94000244140625,147.61000061035156,148.5,68572400,0.0,0.0
2023-03-09 00:00:00-05:00,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,53833600,0.0,0.0
2023-03-08 00:00:00-05:00,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,47204800,0.0,0.0
2023-03-07 00:00:00-05:00,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,56182000,0.0,0.0
2023-03-06 00:00:00-05:00,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,87558000,0.0,0.0
2023-03-03 00:00:00-05:00,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,70732300,0.0,0.0
2023-03-02 00:00:00-05:00,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,52238100,0.0,0.0
2023-03-01 00:00:00-05:00,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,55479000,0.0,0.0
2023-02-28 00:00:00-05:00,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,50547000,0.0,0.0
2023-02-27 00:00:00-05:00,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,44998500,0.0,0.0
2023-02-24 00:00:00-05:00,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,55469600,0.0,0.0
2023-02-23 00:00:00-05:00,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,48394200,0.0,0.0
2023-02-22 00:00:00-05:00,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,51011300,0.0,0.0
2023-02-21 00:00:00-05:00,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,58867200,0.0,0.0
2023-02-17 00:00:00-05:00,152.35000610351562,153.0,150.85000610351562,152.5500030517578,59144100,0.0,0.0
2023-02-16 00:00:00-05:00,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,68167900,0.0,0.0
2023-02-15 00:00:00-05:00,153.11000061035156,155.5,152.8800048828125,155.3300018310547,65573800,0.0,0.0
2023-02-14 00:00:00-05:00,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,61707600,0.0,0.0
2023-02-13 00:00:00-05:00,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,62199000,0.0,0.0
2023-02-10 00:00:00-05:00,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,57450700,0.23,0.0
2023-02-09 00:00:00-05:00,153.54556685880317,154.09473145125077,150.19068844511045,150.63999938964844,56007100,0.0,0.0
2023-02-08 00:00:00-05:00,153.645419005558,154.3443488275137,150.93954362313198,151.6884002685547,64120100,0.0,0.0
2023-02-07 00:00:00-05:00,150.4103490669821,154.99334796631518,150.4103490669821,154.4142303466797,83322600,0.0,0.0
2023-02-06 00:00:00-05:00,152.33741876747337,152.86660957898343,150.55013903872793,151.49868774414062,69858300,0.0,0.0
2023-02-03 00:00:00-05:00,147.80432760381535,157.14007965824945,147.60463555016733,154.26446533203125,154357300,0.0,0.0
2023-02-02 00:00:00-05:00,148.6730014512102,150.9495244580467,147.9441185747257,150.590087890625,118339000,0.0,0.0
2023-02-01 00:00:00-05:00,143.75051679449606,146.38649146547874,141.10456285345305,145.20828247070312,77663600,0.0,0.0
2023-01-31 00:00:00-05:00,142.4824502012381,144.1199494049024,142.06309232127214,144.0700225830078,65874500,0.0,0.0
2023-01-30 00:00:00-05:00,144.73901638047855,145.32811327382328,142.63223244863647,142.78199768066406,64015300,0.0,0.0
2023-01-27 00:00:00-05:00,142.94175342031997,147.0055407027821,142.86187355363052,145.70751953125,70555800,0.0,0.0
2023-01-26 00:00:00-05:00,142.95173537461514,144.03009074188174,141.68366722483955,143.74053955078125,54105100,0.0,0.0
